record_id,delta_id,valid,cost,cont_proximity,cat_proximity,sparsity
0,1,True,0.1552029252052307,-43.35558870965329,1.0,0.625
0,2,True,0.33787691593170166,-50.68495619739752,0.5,0.25
0,3,True,0.24391263723373413,-15.664174918287204,0.25,0.25
1,4,True,0.1464722752571106,-3.10345637636083,0.75,0.375
1,5,True,0.2552218437194824,-16.624069979890685,0.25,0.125
2,6,True,0.3274427205324173,-0.8685815674699602,0.5,0.25
3,7,True,0.05028653144836426,-3.9949862853545586,0.75,0.5
3,8,True,0.1912975013256073,-3.4200709085005143,0.25,0.25
4,9,True,0.25724828243255615,-49.603340104976745,0.75,0.5
4,10,True,0.025163233280181885,-24.78194735137774,0.75,0.5
5,11,True,0.3273282051086426,-51.07657194695083,0.5,0.25
5,12,True,0.40233975648880005,-52.37226510130215,0.5,0.25
6,13,True,0.1256258487701416,-1.47557412656184,0.75,0.375
6,14,True,0.07027226686477661,-2.0974409743434674,0.25,0.125
6,15,True,0.4269680976867676,-52.845873983158704,0.5,0.25
7,16,True,0.202680766582489,-1.59138459899169,0.5,0.375
7,17,True,0.2983209639787674,-1.470331065768414,0.25,0.25
8,18,True,0.23048362135887146,-2.6837959259215536,0.5,0.25
8,19,True,0.23324933648109436,-10.347873083176106,0.5,0.25
9,20,True,0.13061201572418213,-3.2904653542422055,0.75,0.375
9,21,True,0.033135682344436646,-2.047597340144598,0.5,0.25
9,22,True,0.0474683940410614,-3.0511488538261267,0.75,0.375
