,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,Bad,0.0,2.0,2.0,6.0,5.0,2.0,0.0,1.0,1.0,3,5,5.0,1.0,7.0,0.0,0.0,0.0,5.0,-8.0,7.0,0.0,1.0,5.0
1,Bad,1.0,0.0,7.0,1.0,0.0,2.0,1.0,5.0,-7.0,0,8,0.0,0.0,9.0,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,-8.0,0.0
2,Bad,3.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,-7.0,7,8,1.0,4.0,7.0,0.0,3.0,3.0,7.0,3.0,4.0,1.0,1.0,8.0
3,Bad,3.0,4.0,0.0,4.0,7.0,1.0,1.0,3.0,9.0,6,6,7.0,3.0,8.0,0.0,3.0,3.0,8.0,6.0,6.0,3.0,3.0,8.0
4,Bad,7.0,8.0,8.0,9.0,2.0,0.0,0.0,5.0,-7.0,7,8,2.0,0.0,3.0,0.0,1.0,1.0,7.0,7.0,3.0,0.0,0.0,7.0
5,Bad,1.0,2.0,6.0,5.0,8.0,0.0,0.0,2.0,0.0,4,6,8.0,1.0,7.0,0.0,0.0,0.0,7.0,8.0,7.0,3.0,3.0,8.0
6,Good,0.0,1.0,4.0,0.0,6.0,0.0,0.0,3.0,3.0,4,6,6.0,3.0,9.0,0.0,3.0,3.0,9.0,5.0,6.0,3.0,2.0,8.0
7,Good,3.0,3.0,4.0,3.0,4.0,0.0,0.0,1.0,7.0,6,6,4.0,1.0,7.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,1.0
8,Bad,1.0,8.0,1.0,9.0,6.0,0.0,0.0,1.0,2.0,4,6,6.0,1.0,3.0,0.0,1.0,1.0,8.0,-8.0,6.0,0.0,3.0,8.0
9,Bad,1.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0,2.0,4,6,4.0,3.0,3.0,0.0,3.0,3.0,5.0,7.0,5.0,2.0,1.0,4.0
